letter: K, 94.1210, right, numbers: Stim:even, User: none, -1
letter: K, 104.4041, right, numbers: Stim:odd, User: none, -1
letter: A, 114.4375, left, numbers: Stim:odd, User: none, -1
letter: K, 124.0198, right, numbers: Stim:even, User: even, 1.4609
letter: A, 134.2374, right, numbers: Stim:odd, User: odd, 2.1394
letter: K, 144.8192, left, numbers: Stim:odd, User: odd, 1.5229
letter: A, 154.9192, left, numbers: Stim:even, User: even, 1.0561
letter: A, 164.8518, right, numbers: Stim:odd, User: odd, 1.6915
letter: A, 174.7170, right, numbers: Stim:even, User: even, 1.3056
letter: K, 184.2834, left, numbers: Stim:even, User: even, 1.5835
letter: A, 194.3668, left, numbers: Stim:even, User: even, 1.2147
letter: K, 204.1668, right, numbers: Stim:even, User: even, 1.1738
letter: A, 213.8496, left, numbers: Stim:odd, User: odd, 1.6884
letter: A, 223.5654, left, numbers: Stim:even, User: even, 1.0531
letter: A, 233.1321, left, numbers: Stim:odd, User: odd, 1.4081
letter: K, 242.6814, left, numbers: Stim:odd, User: odd, 1.8105
letter: K, 252.2310, right, numbers: Stim:odd, User: odd, 1.6532
letter: A, 261.7809, right, numbers: Stim:even, User: even, 1.6159
letter: K, 271.3303, right, numbers: Stim:even, User: even, 1.9730
letter: A, 280.8795, right, numbers: Stim:even, User: even, 1.5770
letter: K, 290.4292, right, numbers: Stim:odd, User: odd, 1.5273
letter: K, 299.9784, right, numbers: Stim:even, User: even, 1.4365
letter: A, 309.5282, left, numbers: Stim:even, User: even, 1.3315
letter: K, 319.0779, right, numbers: Stim:even, User: even, 1.6741
letter: K, 328.6277, right, numbers: Stim:odd, User: odd, 1.5291
letter: K, 338.1757, right, numbers: Stim:odd, User: odd, 1.6133
letter: K, 347.7264, left, numbers: Stim:odd, User: odd, 1.7180
letter: A, 357.2760, left, numbers: Stim:odd, User: odd, 1.5325
letter: A, 366.8254, right, numbers: Stim:odd, User: none, -1
letter: A, 376.3752, left, numbers: Stim:even, User: none, -1
letter: A, 385.9244, right, numbers: Stim:even, User: even, 1.9146
letter: K, 395.4745, left, numbers: Stim:even, User: even, 1.5285
letter: K, 405.0237, right, numbers: Stim:even, User: none, -1
letter: K, 414.5734, right, numbers: Stim:even, User: even, 1.5055
letter: A, 424.1220, right, numbers: Stim:odd, User: none, -1
letter: A, 433.6552, left, numbers: Stim:even, User: even, 1.7675
letter: K, 443.2056, left, numbers: Stim:odd, User: none, -1
letter: A, 452.7552, left, numbers: Stim:odd, User: odd, 1.5448
letter: A, 462.3043, left, numbers: Stim:odd, User: odd, 1.3904
letter: K, 471.8542, right, numbers: Stim:odd, User: odd, 1.6890
